user_id,keyword_name,rating,user_id.1,페이지1 방문,페이지2 방문,페이지3 방문,누적방문수,누적클릭수,누적체류시간,누적뷰티키워드검색,누적IT키워드검색,when,book_id
22,교촌치킨,1,22,1,0,0,12,13,41,20,11,"02/06/2022, 16:30:00",68
22,굽네치킨,1,22,0,1,0,12,34,52,14,12,"02/06/2022, 16:30:00",73
22,맘스터치,1,22,0,0,1,13,56,56,15,17,"02/06/2022, 16:30:00",144
22,BHC,1,22,0,0,0,24,51,61,17,16,"02/06/2022, 16:30:00",2
22,푸라닭,1,22,0,0,1,31,65,76,17,10,"02/06/2022, 16:30:00",465
22,기아자동차,1,22,1,0,0,35,76,78,11,19,"04/08/2022, 19:55:00",80
22,현대자동차,1,22,0,1,0,18,23,79,13,20,"04/08/2022, 19:55:00",481
22,아우디,1,22,1,0,0,21,16,43,15,12,"04/08/2022, 19:56:00",240
22,볼보,1,22,1,0,0,10,43,73,19,16,"04/08/2022, 19:56:00",178
22,BMW,1,22,1,0,0,15,60,54,15,11,"04/08/2022, 19:56:00",3
22,포르쉐,1,22,0,1,0,12,43,41,14,13,"04/08/2022, 19:57:00",462
22,강릉여행,1,22,1,0,0,19,20,60,11,13,"04/16/2022, 13:53:00",39
22,제주여행,1,22,0,0,1,28,20,86,19,13,"04/16/2022, 13:53:00",362
22,부산여행,1,22,0,1,0,28,20,52,18,12,"04/16/2022, 13:53:00",179
22,경주여행,1,22,0,0,1,18,16,46,20,16,"04/16/2022, 13:53:00",60
22,여수여행,1,22,1,0,0,17,25,77,19,15,"04/16/2022, 13:53:00",284
22,군산여행,1,22,0,1,0,28,35,88,14,10,"04/16/2022, 13:53:00",72
22,전주여행,1,22,1,0,0,28,17,59,11,18,"04/16/2022, 13:53:00",352
22,제주도여행,1,22,1,0,0,22,31,75,14,10,"04/28/2022, 11:12:00",361
22,캠핑,1,22,0,0,1,30,38,45,13,20,"04/28/2022, 11:13:00",400
22,차박,1,22,1,0,0,22,18,77,14,14,"04/28/2022, 11:13:00",377
22,티몬,1,22,0,0,1,19,61,41,16,13,"04/28/2022, 17:11:00",451
22,쿠팡,1,22,0,1,0,29,80,68,19,10,"04/28/2022, 17:12:00",415
22,ESG,1,22,1,0,0,23,66,90,17,14,"05/10/2022, 16:57:00",7
22,서울랜드,1,22,0,1,0,11,78,49,11,12,"05/16/2022, 14:08:00",208
22,롯데월드,1,22,1,0,0,19,31,57,11,13,"05/16/2022, 14:08:00",126
22,에버랜드,1,22,0,0,1,17,66,72,10,10,"05/16/2022, 14:08:00",277
23,스타벅스,1,23,0,1,0,24,19,41,18,14,"04/04/2022, 14:15:00",226
23,아이폰,1,23,0,0,1,20,21,81,20,18,"04/04/2022, 22:44:00",250
23,데이터마케팅코리아,1,23,0,1,0,13,16,76,15,12,"04/04/2022, 22:45:00",105
23,테슬라,1,23,0,0,1,25,16,51,19,17,"04/27/2022, 10:45:00",430
23,아이유,1,23,0,1,0,13,70,58,17,20,"05/11/2022, 21:34:00",248
24,데이터마케팅코리아,1,24,1,0,0,21,80,49,10,13,"11/26/2021, 15:59:00",105
24,데이터마케팅캠퍼스,1,24,0,0,1,28,37,55,20,11,"11/26/2021, 16:00:00",104
24,입짧은햇님,1,24,1,0,0,27,49,45,18,18,"01/11/2022, 16:54:00",344
24,얼음정수기,1,24,1,0,0,26,70,55,12,12,"05/09/2022, 10:11:00",274
